,name,salary,min_salary,max_salary,currency_salary,link,source
41,Разработчик Python,30 000 – 80 000 руб.,30000.0,80000.0,руб.,https://hh.ru/vacancy/47668037?from=vacancy_search_list&query=python,hh.ru
42,Backend Developer Python,З/П не указана,,,,https://hh.ru/vacancy/77365703?from=vacancy_search_list&query=python,hh.ru
43,Python developer (Банк),до 300 000 руб.,,300000.0,руб.,https://hh.ru/vacancy/77262071?from=vacancy_search_list&query=python,hh.ru
44,Программист-стажер GO / Go Intern (Telecom),З/П не указана,,,,https://hh.ru/vacancy/77339852?from=vacancy_search_list&query=python,hh.ru
45,Python developer,З/П не указана,,,,https://hh.ru/vacancy/77339906?from=vacancy_search_list&query=python,hh.ru
46,Python Developer,З/П не указана,,,,https://hh.ru/vacancy/76498335?from=vacancy_search_list&query=python,hh.ru
47,Программист Python+Django,от 25 000 руб.,25000.0,,руб.,https://hh.ru/vacancy/77232367?from=vacancy_search_list&query=python,hh.ru
48,Программист Python,З/П не указана,,,,https://hh.ru/vacancy/77218092?from=vacancy_search_list&query=python,hh.ru
49,Преподаватель Python,от 125 000 руб.,125000.0,,руб.,https://hh.ru/vacancy/77083925?from=vacancy_search_list&query=python,hh.ru
50,Python developer,З/П не указана,,,,https://hh.ru/vacancy/75574711?from=vacancy_search_list&query=python,hh.ru
51,Data/Product Analyst,до 330 000 руб.,,330000.0,руб.,https://hh.ru/vacancy/77206133?from=vacancy_search_list&query=python,hh.ru
52,Разработчик бэкенда на Python в Вертикали,З/П не указана,,,,https://hh.ru/vacancy/76831393?from=vacancy_search_list&query=python,hh.ru
53,Ментор на курс Python,З/П не указана,,,,https://hh.ru/vacancy/77259417?from=vacancy_search_list&query=python,hh.ru
54,Разработчик Python,от 120 000 руб.,120000.0,,руб.,https://hh.ru/vacancy/76076341?from=vacancy_search_list&query=python,hh.ru
55,Junior/Middle Backend-разработчик на Ruby,110 000 – 150 000 руб.,110000.0,150000.0,руб.,https://hh.ru/vacancy/76964796?from=vacancy_search_list&query=python,hh.ru
56,Разработчик Python,от 150 000 руб.,150000.0,,руб.,https://hh.ru/vacancy/76433537?from=vacancy_search_list&query=python,hh.ru
57,Аналитик данных / Data Analyst,80 000 – 120 000 руб.,80000.0,120000.0,руб.,https://hh.ru/vacancy/77024983?from=vacancy_search_list&query=python,hh.ru
58,AI / ML Specialist,З/П не указана,,,,https://hh.ru/vacancy/77185485?from=vacancy_search_list&query=python,hh.ru
59,Python Data Engineer (junior),З/П не указана,,,,https://hh.ru/vacancy/76141435?from=vacancy_search_list&query=python,hh.ru
60,Python developer (remote),от 1 000 USD,1000.0,,USD,https://hh.ru/vacancy/77245811?from=vacancy_search_list&query=python,hh.ru
61,Разработчик Python,от 200 000 руб.,200000.0,,руб.,https://hh.ru/vacancy/77089579?from=vacancy_search_list&query=python,hh.ru
62,Python Web Developer,З/П не указана,,,,https://hh.ru/vacancy/75771778?from=vacancy_search_list&query=python,hh.ru
63,Artificial Intelligence / Machine Learning Engineer,З/П не указана,,,,https://hh.ru/vacancy/77351702?from=vacancy_search_list&query=python,hh.ru
64,С++ Developer (Python),от 150 000 руб.,150000.0,,руб.,https://hh.ru/vacancy/73030684?from=vacancy_search_list&query=python,hh.ru
65,Backend программист (Python),от 120 000 руб.,120000.0,,руб.,https://hh.ru/vacancy/77147428?from=vacancy_search_list&query=python,hh.ru
66,Разработчик Python и SQL,от 60 000 руб.,60000.0,,руб.,https://hh.ru/vacancy/76425036?from=vacancy_search_list&query=python,hh.ru
67,Python-разработчик систем сбора,100 000 – 150 000 руб.,100000.0,150000.0,руб.,https://hh.ru/vacancy/72687495?from=vacancy_search_list&query=python,hh.ru
68,Middle Python-разработчик,140 000 – 250 000 руб.,140000.0,250000.0,руб.,https://hh.ru/vacancy/75679088?from=vacancy_search_list&query=python,hh.ru
